arch_name,dataset_name,depth,width,num_params,connectivity,alpha,D_max,R2,t0,num_jumps,final_accuracy
mlp_narrow,mnist,4,32.0,28618,31.039045553145336,0.0014149254331458849,8.544018060704207,0.933638607401793,3.3485398650914827e-11,0,0.9267707082833133
mlp_verydeep_15,mnist,15,24.0,27490,23.821490467937608,0.0002832876873843374,3.911599737443577,0.41930092160026544,3.133555387604163e-10,0,0.7707082833133253
mlp_medium_5,mnist,5,57.6,65130,60.19408502772643,0.0012933566256027127,11.169791312532109,0.9082234424065203,159.76841763629238,0,0.9531812725090036
mlp_verywide,mnist,4,384.0,864266,370.92961373390557,0.0002754216231072654,36.78374475427702,-1.6476795800202915,1994.9999999999998,0,0.9441776710684273
mlp_wide,fashion_mnist,4,192.0,317450,203.23303457106275,0.00019717422333199634,18.38586408902086,0.27779022418454324,2.1424386568272066e-08,0,0.792
mlp_deep_10,fashion_mnist,10,32.0,34954,31.377019748653503,0.00046640827238953375,4.243565894790739,0.8138356117700506,1.2327757587978299e-15,0,0.708
mlp_shallow_2,fashion_mnist,2,96.0,109386,110.93914807302231,0.0003766695279024145,16.227927598830142,0.6184307706530641,3.226274686985822e-14,0,0.796
mlp_shallow_2,mnist,2,96.0,109386,110.93914807302231,0.00047209901646313914,23.28043922156984,0.6966190317442189,628.1838833147792,0,0.9627851140456183
mlp_medium,mnist,4,96.0,130058,110.40577249575551,0.000677753844751007,19.342389496037526,0.7392557525001766,389.1917437042152,0,0.9585834333733494
mlp_verydeep_15,fashion_mnist,15,24.0,27490,23.821490467937608,0.0008872519111290092,3.3555892323299332,0.8694634373634983,4.1851102747838425e-14,0,0.704
mlp_medium,fashion_mnist,4,96.0,130058,110.40577249575551,0.0004922676896212542,14.059237770310634,0.7106985420325314,180.81244697573695,0,0.764
mlp_narrow,fashion_mnist,4,32.0,28618,31.039045553145336,0.0004996115057056887,9.012394874400979,0.8871639730159201,9.182480709106348e-16,0,0.752
mlp_wide,mnist,4,192.0,317450,203.23303457106275,0.00026716424619051396,30.71945206053472,0.4285905196789903,1704.2120878442515,0,0.9477791116446579
mlp_deep_10,mnist,10,32.0,34954,31.377019748653503,0.0009288449492408347,4.345321156775147,0.8952723717014172,185.9063181504696,0,0.8865546218487395
transformer_shallow,mnist,2,128.0,406282,1587.0390625,5.012531328320803e-05,13.179426382273936,0.26101689841129794,7.287672420531192e-10,9,0.9357743097238895
mlp_medium_5,fashion_mnist,5,57.6,65130,60.19408502772643,0.0013827021263249405,8.970954727115945,0.9005810608342533,9.476474139670312e-09,0,0.808
transformer_shallow,fashion_mnist,2,128.0,406282,1587.0390625,0.00021220116471196002,12.258020823620848,0.7655882763962742,6.827302248198358e-12,5,0.756
mlp_deep_10,qmnist,10,32.0,34954,31.377019748653503,0.000856533057165119,5.191444731981709,0.8764711186283946,7.219564912163638e-23,0,0.8333333333333334
mlp_verywide,qmnist,4,384.0,864266,370.92961373390557,0.00019974319356123516,29.00589611132829,-1.250221882879531,1994.9999999999998,0,0.8933333333333333
transformer_deep,qmnist,6,128.0,1199370,1561.6796875,0.00022241893792539157,6.967127211865341,0.5038015879895857,2.0997151007832468e-14,0,0.88
mlp_wide,qmnist,4,192.0,317450,203.23303457106275,0.00014375762257074634,25.121799206640752,0.17595300015663173,1213.3699357863647,0,0.91
cnn_deep,fashion_mnist,5,120.0,390410,795.1323828920571,0.0003062310939073713,6.334297113396558,0.6317260292805014,1.152032607450504e-11,23,0.848
cnn_deep,qmnist,5,120.0,390410,795.1323828920571,0.00011969678745961845,6.131473721631644,0.32830943075886987,5.718611031353095e-07,20,0.96
mlp_shallow_2,ag_news,2,96.0,21444,72.44594594594595,5.012531328320803e-05,37.67883508084402,-0.36373893357382703,3.423536522323429e-15,0,0.22333333333333333
transformer_narrow,mnist,4,64.0,204810,800.0390625,5.012531328320803e-05,11.029534745659806,-0.6619043625092818,3.4486118538431038e-12,6,0.936
mlp_narrow,qmnist,4,32.0,28618,31.039045553145336,0.00024501644522684945,9.871907865740447,0.5005884913874893,7.082335649700375e-08,0,0.8666666666666667
transformer_deep,mnist,6,128.0,1199370,1561.6796875,0.0003905193301329856,7.642588866945179,0.7257761276944108,1.154169792124989e-11,5,0.856
transformer_narrow,fashion_mnist,4,64.0,204810,800.0390625,0.00017320774017090136,10.791756764029566,0.4717069359556496,1.998978391896161e-11,2,0.824
mlp_verydeep_15,qmnist,15,24.0,27490,23.821490467937608,0.0004129530794841113,4.58477708022579,0.782086321864508,2.0041458772343854e-11,0,0.8366666666666667
cnn_medium,fashion_mnist,4,74.66666666666667,104202,443.4127659574468,0.00015899715745639923,6.038498942038166,0.5188321005870695,7.914451092284553e-12,10,0.848
mlp_medium_5,ag_news,5,57.6,21156,53.96938775510204,0.0003895991370841365,28.778035271580947,0.809514670637317,2.4288796454507743e-11,0,0.2866666666666667
transformer_deep,fashion_mnist,6,128.0,1199370,1561.6796875,0.00016362773922011523,8.457479690467071,0.5560945538218078,1.4340216256449557e-08,0,0.796
cnn_medium,qmnist,4,74.66666666666667,104202,443.4127659574468,5.012531328320803e-05,5.796103685329806,-0.017253201205590374,5.957582721955826e-08,18,0.9766666666666667
transformer_medium,qmnist,4,128.0,802826,1568.01953125,8.676001032165433e-05,10.77821603268206,0.3628014568497874,1.6358431574947116e-07,6,0.92
cnn_shallow,fashion_mnist,3,48.0,50186,469.02803738317755,7.764226039526317e-05,7.084943848837273,0.20739767409954923,9.73513075169301e-07,13,0.844
transformer_shallow,ag_news,2,128.0,400388,1564.015625,0.00022095606573179662,10.86450963045819,0.2748619379602546,5.560347071027604e-07,0,0.26
transformer_medium,ag_news,4,128.0,796932,1556.5078125,8.970299592143765e-05,8.580202765079418,-0.10622337526764425,1994.9999999999802,0,0.29333333333333333
cnn_shallow,mnist,3,48.0,50186,469.02803738317755,5.012531328320803e-05,6.524237725184809,-0.13076800117228782,4.251048950529777e-09,7,0.96
cnn_medium,mnist,4,74.66666666666667,104202,443.4127659574468,5.517267719862798e-05,6.20025047004405,0.13608204914072686,8.757974882211638e-09,14,0.976
mlp_narrow,ag_news,4,32.0,6532,28.155172413793103,0.00019722177622633394,21.37652572277075,0.8972834581856594,1.49549542339688e-12,2,0.28
cnn_deep,mnist,5,120.0,390410,795.1323828920571,7.851381682074011e-05,6.054825533253825,0.1835893549572456,1.0823341016162812e-06,15,0.972
mlp_verywide,ag_news,4,384.0,512516,312.50975609756097,0.00022428666316193091,32.97993831292988,0.3715545150953693,1.1972005216241014e-07,0,0.32
mlp_shallow_2,qmnist,2,96.0,109386,110.93914807302231,0.0001717930086200061,22.150160477925485,-0.09596917865105636,1994.9999999999998,0,0.9166666666666666
transformer_shallow,qmnist,2,128.0,406282,1587.0390625,0.00012665171248786873,12.822279983870432,0.28374425468008624,4.637520304403098e-12,6,0.9266666666666666
mlp_medium_5,qmnist,5,57.6,65130,60.19408502772643,0.0002700158020446844,10.622884498457882,0.3642548873574992,1.2822951691422714e-09,0,0.9033333333333333
transformer_medium,mnist,4,128.0,802826,1568.01953125,5.012531328320803e-05,10.216370413366198,0.042929585114584445,1.4733606839742328e-09,0,0.916
